机型,网络,类型,版本,MD5,下载,大小,时间
M15,A（公开版）,出厂系统,Flyme 7.0.1.2A,b7fe7e95d9d7e93fc65abb2b1bcdf575,https://firmware.meizu.com/Firmware/Flyme/M15/7.0.1.2/cn/20180831211550/1bcdf575/update.zip,2208MB,2018-06-29
魅蓝 E3,A（公开版）,稳定版 推荐,Flyme 8.0.0.0A,76575a1a3170ce0fea3e474e486af3c1,https://firmware.meizu.com/Firmware/Flyme/M3E/8.0.0.0/cn/20200117180649/486af3c1/update.zip,2292MB,2020-01-20
魅蓝 E3,A（公开版）,体验版,Flyme 7.8.11.13 beta,e866988958026815ae0c87c044d3a6cd,https://firmware.meizu.com/Firmware/Flyme/M3E/7.8.11.13/cn_beta/20181109160412/44d3a6cd/update.zip,2149MB,2018-11-13
魅蓝 E3,A（公开版）,体验版,Flyme 7.8.10.30 beta,9349d8a5fb60702b400e3febd74332a3,https://firmware.meizu.com/Firmware/Flyme/M3E/7.8.10.30/cn_beta/20181026171529/d74332a3/update.zip,2145MB,2018-10-30
魅蓝 E3,A（公开版）,出厂系统,Flyme 6.3.2.2A,0dc2ea4356f9b71024d53203f05e3186,https://firmware.meizu.com/Firmware/Flyme/M3E/6.3.2.2/cn/20180530115721/f05e3186/update.zip,2045MB,2018-06-07
魅蓝 S6,A（公开版）,稳定版 推荐,Flyme 8.0.0.0A,5f5c9c482008e75128b7b75febfc8684,https://firmware.meizu.com/Firmware/Flyme/s6/8.0.0.0/cn/20191218012255/ebfc8684/update.zip,1634MB,2019-12-23
魅蓝 S6,A（公开版）,体验版,Flyme 7.8.8.7 beta,f4b4ed6e2fc029bffd5557ce07aa0d7e,https://firmware.meizu.com/Firmware/Flyme/s6/7.8.8.7/cn_beta/20180803154054/07aa0d7e/update.zip,1470MB,2018-08-08
魅蓝 S6,A（公开版）,体验版,Flyme 7.8.7.24 beta,84038ef3ffadd2beedf8591085ac7ac5,https://firmware.meizu.com/Firmware/Flyme/s6/7.8.7.24/cn_beta/20180719170624/85ac7ac5/update.zip,1465MB,2018-07-24
魅蓝 S6,A（公开版）,出厂系统,Flyme 6.3.1.2A,c97915df1cefdaa5878fd7607e856503,https://firmware.meizu.com/Firmware/Flyme/s6/6.3.1.2/cn/20180803160054/7e856503/update.zip,1340MB,2018-04-08
魅蓝 6,A（公开版）,稳定版 推荐,Flyme 8.0.0.0A,28c4c83d52309b0c9e7fa29eef149cd4,https://firmware.meizu.com/Firmware/Flyme/m6/8.0.0.0/cn/20200110144612/ef149cd4/update.zip,1692MB,2020-01-15
魅蓝 6,A（公开版）,体验版,Flyme 7.8.6.25 beta,3f2026407df1fc0542c8b22bfbe36fcc,https://firmware.meizu.com/Firmware/Flyme/m6/7.8.6.25/cn_beta/20180622194519/fbe36fcc/update.zip,1455MB,2018-06-25
魅蓝 6,A（公开版）,体验版,Flyme 7.8.6.5 beta,7a5c084ca50b37abf840d6f11cf9976d,https://firmware.meizu.com/Firmware/Flyme/m6/7.8.6.5/cn_beta/20180601184327/1cf9976d/update.zip,1455MB,2018-06-05
魅蓝 6,A（公开版）,出厂系统,Flyme 6.2.0.5A,cec7b73b042a76cd067581fd8db0a2f5,https://firmware.meizu.com/Firmware/Flyme/m6/6.2.0.5/cn/20180411144909/8db0a2f5/update.zip,1306MB,2018-04-13
魅蓝 6,Q（电信版）,出厂系统,Flyme 6.2.0.3Q,286f7efee7374976e9eef39e00d15032,https://firmware.meizu.com/Firmware/Flyme/m6/6.2.0.3/tel/20180718150845/00d15032/update.zip,1312MB,2018-07-24
魅蓝 6,M（移动定制）,稳定版 推荐,Flyme 6.3.0.3M,51667f9e435d569db994937d328290b4,https://firmware.meizu.com/Firmware/Flyme/m6/6.3.0.3/cmcc/20190417180915/328290b4/update.zip,1405MB,2019-04-23
魅蓝 6,M（移动定制）,出厂系统,Flyme 6.2.0.5M,7e3e531a3d5a2b25ddcc23254868fc75,https://firmware.meizu.com/Firmware/Flyme/m6/6.2.0.5/cmcc/20180718103009/4868fc75/update.zip,1401MB,2018-07-24
魅蓝 Note6,A（公开版）,稳定版 推荐,Flyme 8.0.0.0A,fd634082af17ac098fb044e34d84401c,https://firmware.meizu.com/Firmware/Flyme/m6_note/8.0.0.0/cn/20191211041438/4d84401c/update.zip,2263MB,2019-12-12
魅蓝 Note6,A（公开版）,体验版,Flyme 8.19.11.26 beta,9cf345c6592155d10274e232c70c6c95,https://firmware.meizu.com/Firmware/Flyme/m6_note/8.19.11.26/cn_beta/20191126173509/c70c6c95/update.zip,2266MB,2019-11-27
魅蓝 Note6,A（公开版）,体验版,Flyme 8.19.11.12 beta,31535bd39ea8a6e2d7c5a63fed719add,https://firmware.meizu.com/Firmware/Flyme/m6_note/8.19.11.12/cn_beta/20191107041338/ed719add/update.zip,2266MB,2019-11-12
魅蓝 Note6,A（公开版）,出厂系统,Flyme 6.1.4.7A,38031098d2f31ebc335c74897600f73c,https://firmware.meizu.com/Firmware/Flyme/m6_note/6.1.4.7/cn/20180312213421/7600f73c/update.zip,1860MB,2018-03-13
魅蓝 Note6,Q（电信版）,出厂系统,Flyme 6.1.4.3Q,668fab7a231abf69e6ff397d91792d55,https://firmware.meizu.com/Firmware/Flyme/m6_note/6.1.4.3/tel/20191021102012/91792d55/update.zip,1912MB,2019-11-04
魅蓝 Note6,M（移动定制）,出厂系统,Flyme 6.1.4.4M,965b64cdb00a86635092726a6a064660,https://firmware.meizu.com/Firmware/Flyme/m6_note/6.1.4.4/cmcc/20180718142334/6a064660/update.zip,1929MB,2018-07-24
PRO 7 Plus,A（公开版）,稳定版 推荐,Flyme 8.0.0.0A,2a14ec8a4df9a4481757aecbc6ed8e89,https://firmware.meizu.com/Firmware/Flyme/PRO7_Plus/8.0.0.0/cn/20191211041115/c6ed8e89/update.zip,1732MB,2019-12-12
PRO 7 Plus,A（公开版）,体验版,Flyme 8.19.11.26 beta,25996da208951059915849005101bee9,https://firmware.meizu.com/Firmware/Flyme/PRO7_Plus/8.19.11.26/cn_beta/20191126111810/5101bee9/update.zip,1739MB,2019-11-27
PRO 7 Plus,A（公开版）,体验版,Flyme 8.19.11.12 beta,134f1613bb1d11c806ad7a0ca08e4506,https://firmware.meizu.com/Firmware/Flyme/PRO7_Plus/8.19.11.12/cn_beta/20191109183515/a08e4506/update.zip,1739MB,2019-11-12
PRO 7 Plus,A（公开版）,出厂系统,Flyme 6.1.2.5A,43161cf9677ee3f3fe7a72d82cace34a,https://firmware.meizu.com/Firmware/Flyme/PRO7_Plus/6.1.2.5/cn/20170914153556/2cace34a/update.zip,1365MB,2017-09-18
PRO 7 高配版,A（公开版）,稳定版 推荐,Flyme 8.0.0.0A,7223035238e31a2e80cfe9bae9701eed,https://firmware.meizu.com/Firmware/Flyme/PRO7H/8.0.0.0/cn/20191217114750/e9701eed/update.zip,1707MB,2019-12-18
PRO 7 高配版,A（公开版）,体验版,Flyme 8.19.11.26 beta,ddad00273b7e9fb3f6324d71a7c750f4,https://firmware.meizu.com/Firmware/Flyme/PRO7H/8.19.11.26/cn_beta/20191126111610/a7c750f4/update.zip,1705MB,2019-11-27
PRO 7 高配版,A（公开版）,体验版,Flyme 8.19.11.12 beta,270e063ed18d9fe4f107c8304d1ee6f4,https://firmware.meizu.com/Firmware/Flyme/PRO7H/8.19.11.12/cn_beta/20191109183500/4d1ee6f4/update.zip,1705MB,2019-11-12
PRO 7 高配版,A（公开版）,出厂系统,Flyme 6.2.0.1A,527d76a86315a2dc73dbb08a9c970eff,https://firmware.meizu.com/Firmware/Flyme/PRO7H/6.2.0.1/cn/20171023113334/9c970eff/update.zip,1331MB,2017-11-07
PRO 7 标准版,A（公开版）,稳定版 推荐,Flyme 8.0.0.0A,f7289b44c45e1e345e29c943f3795db1,https://firmware.meizu.com/Firmware/Flyme/PRO7S/8.0.0.0/cn/20200113172509/f3795db1/update.zip,1714MB,2020-01-16
PRO 7 标准版,A（公开版）,体验版,Flyme 7.9.5.28 beta,cb9b3fed6771d3f6c3b9af4b1bdb233a,https://firmware.meizu.com/Firmware/Flyme/PRO7S/7.9.5.28/cn_beta/20190524191544/1bdb233a/update.zip,1766MB,2019-05-28
PRO 7 标准版,A（公开版）,体验版,Flyme 7.9.5.7 beta,8ef1c2adba166da205b090f632ad8c33,https://firmware.meizu.com/Firmware/Flyme/PRO7S/7.9.5.7/cn_beta/20190505192029/32ad8c33/update.zip,1754MB,2019-05-07
PRO 7 标准版,A（公开版）,出厂系统,Flyme 6.2.0.2A,cf8b7745d173cd5ab039f46b96c7752c,https://firmware.meizu.com/Firmware/Flyme/PRO7S/6.2.0.2/cn/20180102152511/96c7752c/update.zip,1401MB,2018-01-19
PRO 7 标准版,M（移动定制）,稳定版 推荐,Flyme 7.3.0.0A,e7a2ef77fb6526d95bc3b5807c648dee,https://firmware.meizu.com/Firmware/Flyme/PRO7S/7.3.0.0/cmcc/20190730164617/7c648dee/update.zip,1688MB,2019-07-31
PRO 7 标准版,M（移动定制）,出厂系统,Flyme 6.1.3.5M,9ef4b901137dd011ae9c2decc485935b,https://firmware.meizu.com/Firmware/Flyme/PRO7S/6.1.3.5/cmcc/20170914153955/c485935b/update.zip,1329MB,2017-09-18
魅蓝 A5,M（移动定制）,出厂系统,Flyme 6.0.2.4M,76d388b30d30db17e5107adcc4274e81,https://firmware.meizu.com/Firmware/Flyme/M5c/6.0.2.4/cmcc/20190328163856/c4274e81/update.zip,1270MB,2019-04-03
魅蓝 E2,A/Y（公开版）,稳定版 推荐,Flyme 6.3.0.3A,0822400c1410c0950f717c2eb1fee114,https://firmware.meizu.com/Firmware/Flyme/M2E/6.3.0.3/cn/20190320170156/b1fee114/update.zip,1496MB,2019-03-22
魅蓝 E2,A/Y（公开版）,体验版,Flyme 7.8.7.24 beta,b3b7c33886b2bf16f9a1923a9c91aa33,https://firmware.meizu.com/Firmware/Flyme/M2E/7.8.7.24/cn_beta/20180724151112/9c91aa33/update.zip,1294MB,2018-07-26
魅蓝 E2,A/Y（公开版）,体验版,Flyme 6.8.1.16 beta,c088287b9e8e9efa5600724fc67e1354,https://firmware.meizu.com/Firmware/Flyme/M2E/6.8.1.16/cn_beta/20180112100256/c67e1354/update.zip,1477MB,2018-01-16
魅蓝 E2,A/Y（公开版）,体验版,Flyme 6.7.12.26 beta,160d2488711be0c713aa6a148d96d3c7,https://firmware.meizu.com/Firmware/Flyme/M2E/6.7.12.26/cn_beta/20171225131508/8d96d3c7/update.zip,1462MB,2017-12-26
魅蓝 E2,A/Y（公开版）,体验版,Flyme 6.7.7.1 beta,13e233de52d73bd3fc29f0359bcf5d0e,https://firmware.meizu.com/Firmware/Flyme/M2E/6.7.7.1/cn_beta/20170920175643/9bcf5d0e/update.zip,1390MB,2017-07-01
魅蓝 E2,A/Y（公开版）,出厂系统,Flyme 6.0.3.5Y,cd921b3df78799b3b94bb7602dd94a33,https://firmware.meizu.com/Firmware/Flyme/M2E/6.0.3.5/ali/20170804025926/2dd94a33/update.zip,1396MB,2017-08-25
