系列,机型,版本,ColorOS,Android,地址,大小,时间,MD5
Find系列,OPPO Find X2,ColorOS 7 正式版-A.03（Android 10）,7,10.0,https://fsopen.coloros.com/3/oppowww/androidrom/pdem10/PDEM10_11_OTA_0341_all_JP0xKUtTHjYL.ozip,3614M,2020-03-19T11:56:57.000+0000,5128B5F7E1D5CFEE4272723394BB1E74
Find系列,Find X高配版（PAHM00）,正式版-F.27,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20211203164919/PAFM00_11_OTA_3270_all_ZsB7LzXH0Ct8.ozip,3508.00MB,2021-12-03T08:54:00.000+0000,b4846db04ac76e4d64d87d5801bb8e5a
Find系列,Find X高配版（PAHM00）,正式版-F.26,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20211115164149/PAFM00_11_OTA_3260_all_t3Y7m7zoFCcK.ozip,3477.58MB,2021-11-15T08:45:00.000+0000,0d810920f3ca50c673b41a7239eb60f3
Find系列,Find X高配版（PAHM00）,正式版-F.25,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210826202442/PAFM00_11_OTA_3250_all_WM4Q1CCMVEIE.ozip,3477.58MB,2021-08-26T12:27:13.000+0000,9cbcc6647bc57b707f2fc29186e703ed
Find系列,Find X高配版（PAHM00）,正式版-F.24,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/null_20210720204333/PAFM00_11_OTA_3240_all_EmrOGJFGRPXb.ozip,3474.53MB,2021-07-20T12:48:00.000+0000,0cc551b68a296861c5fa7a7b518ec3eb
Find系列,Find X高配版（PAHM00）,正式版-F.23,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/null_20210623105645/PAFM00_11_OTA_3230_all_Yady5Izwm722.ozip,3473.90MB,2021-06-23T02:59:07.000+0000,7ae9cb5cbdb5e35bd8705ea895293078
Find系列,Find X高配版（PAHM00）,正式版-F.22,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210512142952/PAFM00_11_OTA_3220_all_41KCtBxIvhly.ozip,3453.44MB,2021-05-12T06:32:13.000+0000,de937ff393011f24b68dbc1eabe2c582
Find系列,Find X高配版（PAHM00）,正式版-F.21,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210310155425/PAFM00_11_OTA_3210_all_pAxSgvy7MJoa.ozip,3453.19MB,2021-03-10T07:57:04.000+0000,f5edfcc50d7b3a78da1dd625a600c991
Find系列,Find X高配版（PAHM00）,正式版-F.20,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210205111431/PAFM00_11_OTA_3200_all_P2hwrKpZA4MR.ozip,3453.14MB,2021-02-05T08:00:01.000+0000,88935f5f0e52958f1707c5486e37e1e5
Find系列,Find X高配版（PAHM00）,正式版-F.19,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20201230114015/PAFM00_11_OTA_3190_all_vXAWSJy7iQEt.ozip,3392.53MB,2020-12-30T03:45:01.000+0000,ca8ba5f1bcf2b6154188dfa2ed90f156
Find系列,Find X高配版（PAHM00）,正式版-F.18,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20201113104244/PAFM00_11_OTA_3180_all_ztFatEOgTlOb.ozip,3316.19MB,2020-11-13T02:45:03.000+0000,21610a1a20231ca68abbf7ba423d3514
Find系列,Find X高配版（PAHM00）,正式版-F.15,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200927082938/PAFM00_11_OTA_3150_all_l45XvVd55UtK.ozip,3324.34MB,2020-09-27T00:31:51.000+0000,bf890cd6bc687fd6e2d5ccbd9b320282
Find系列,Find X高配版（PAHM00）,正式版-F.14,7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200905094000/PAFM00_11_OTA_3140_all_ID25b1uENa3W.ozip,3321.62MB,2020-09-05T02:27:35.000+0000,c36694ca7ab38d9924f005d9ada13183
Find系列,Find X高配版（PAHM00）,正式版-F.13,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200808091243/PAFM00_11_OTA_3130_all_R9ARBYKBMUPj.ozip,3320.78MB,2020-08-08T01:15:00.000+0000,aa59c19914fa32be06624a234ea99a6b
Find系列,Find X高配版（PAHM00）,正式版-F.12,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200702163059/PAFM00_11_OTA_3120_all_3pSKNdBbr5Ck.ozip,3244.12MB,2020-07-02T08:32:45.000+0000,c07f194ba1430ef57d107d058a568fab
Find系列,Find X高配版（PAHM00）,正式版-F.10,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200619155013/PAFM00_11_OTA_3100_all_CSs2671wQRpJ.ozip,3171.81MB,2020-06-19T07:51:17.000+0000,1a18306daae3ac5080c6950c6070f2b3
Find系列,Find X高配版（PAHM00）,ColorOS 7 正式版-F.09（Android 10）,7,10.0,https://fsopen.coloros.com/3/oppowww/androidrom/pahm00/PAHM00_11_OTA_3090_all_zl3f9pDDviaO.ozip,3159M,2020-05-17T10:07:28.000+0000,325E7901ADB51C08AC177E130E10181A
Find系列,Find X高配版（PAHM00）,ColorOS 6 正式版-C.24（ Android 9）,6,9.0,https://fsopen.coloros.com/3/oppowww/androidrom/PAHM00P/PAHM00_11_C.24_OTA_1240_all_201912112224.ozip,2671M,2020-01-07T19:22:09.000+0000,5EBD11BEDA6CF428743B1B193200E89A
Find系列,Find X高配版（PAHM00）,正式版本-C.22,,,https://fsopen.coloros.com/3/oppowww/androidrom/PAHM00P/PAHM00_11_C.22_OTA_1220_all_201910101954.ozip,2662 MB,2019-12-03T23:01:18.000+0000,09dd6e0c5b16fc0eea8abd59bf784bae
Find系列,Find X高配版（PAHM00）,正式版本-A.37,,,https://fsopen.coloros.com/3/oppowww/androidrom/pahm00/PAHM00_11_OTA_0370_all_6kB1jrhNZWV5.ozip,2509 MB,2019-09-29T16:20:19.000+0000,175e421ecc8a30db33972fb497559313
Find系列,Find X高配版（PAHM00）,正式版-A.35,,,https://fsopen.coloros.com/3/oppowww/androidrom/pahm00/PAHM00_11_OTA_0350_all_kP3yN4aS1ASz.ozip,2508 MB,2019-07-05T18:39:21.000+0000,11232742BD3A89CF6B6E27F34593D634
Find系列,Find X高配版（PAHM00）,正式版-A.34,,,https://fsopen.coloros.com/3/oppowww/androidrom/pahm00/PAHM00_11_OTA_0340_all_gQm7wJmKgtwy.ozip,2457 MB,2019-05-28T20:01:45.000+0000,5E7E565E29C4B0AA6EF8F6D5907FAF53
Find系列,Find X高配版（PAHM00）,正式版-A.30,,,https://fsopen.coloros.com/3/oppowww/androidrom/pahm00/PAHM00_11_OTA_0300_all_rqjUlPT7h9J9.ozip,2447 MB,2019-01-29T14:49:12.000+0000,8C98903312E82B30FB3FEEE79062F6E3
Find系列,Find X高配版（PAHM00）,正式版-A.27,,,https://fsopen.coloros.com/3/oppowww/androidrom/pahm00//PAHM00_11_OTA_0270_all_qxrtgYyNXpsa_local.ozip,2437 MB,2018-11-26T10:05:49.000+0000,08057F7734DDF7426136FE7088469DA5
Find系列,Find X高配版（PAHM00）,正式版-A.25,,,https://fsopen.coloros.com/3/oppowww/androidrom/pahm00/PAHM00_11_OTA_0250_all_FpXU0QjATjXY_local.ozip,2324 MB,2018-10-15T16:15:31.000+0000,8A346907A020CEB76334414A62E74C99
Find系列,Find X高配版（PAHM00）,正式版-A.24,,,https://fsopen.coloros.com/3/oppowww/androidrom/pahm00/PAHM00_11_OTA_0240_all_oOYzUsF4mOJj_local.ozip,2325 MB,2018-09-10T19:17:44.000+0000,39D7E232CBCBEB6885770EA0E22A0608
Find系列,Find X高配版（PAHM00）,正式版-A.23,,,https://fsopen.coloros.com/3/oppowww/androidrom/pahm00/PAHM00_11_OTA_0230_all_nKkP73eUA2bv_local.ozip,2324 MB,2018-08-20T22:25:00.000+0000,5A0756CE14F4A7A80E8F93602ADC1B7B
Find系列,Find X全网通版（PAFM00）,正式版-F.27,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20211203164919/PAFM00_11_OTA_3270_all_ZsB7LzXH0Ct8.ozip,3508.00MB,2021-12-03T08:52:17.000+0000,b4846db04ac76e4d64d87d5801bb8e5a
Find系列,Find X全网通版（PAFM00）,正式版-F.26,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20211115164149/PAFM00_11_OTA_3260_all_t3Y7m7zoFCcK.ozip,3477.58MB,2021-11-15T08:44:44.000+0000,0d810920f3ca50c673b41a7239eb60f3
Find系列,Find X全网通版（PAFM00）,正式版-F.25,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210826202442/PAFM00_11_OTA_3250_all_WM4Q1CCMVEIE.ozip,3477.58MB,2021-08-26T12:30:00.000+0000,9cbcc6647bc57b707f2fc29186e703ed
Find系列,Find X全网通版（PAFM00）,正式版-F.24,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/null_20210720204333/PAFM00_11_OTA_3240_all_EmrOGJFGRPXb.ozip,3474.53MB,2021-07-20T12:45:53.000+0000,0cc551b68a296861c5fa7a7b518ec3eb
Find系列,Find X全网通版（PAFM00）,正式版-F.23,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/null_20210623105645/PAFM00_11_OTA_3230_all_Yady5Izwm722.ozip,3473.90MB,2021-06-23T03:00:00.000+0000,7ae9cb5cbdb5e35bd8705ea895293078
Find系列,Find X全网通版（PAFM00）,正式版-F.22,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210512142952/PAFM00_11_OTA_3220_all_41KCtBxIvhly.ozip,3453.44MB,2021-05-12T06:33:00.000+0000,de937ff393011f24b68dbc1eabe2c582
Find系列,Find X全网通版（PAFM00）,正式版-F.21,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210310155425/PAFM00_11_OTA_3210_all_pAxSgvy7MJoa.ozip,3453.19MB,2021-03-10T07:55:58.000+0000,f5edfcc50d7b3a78da1dd625a600c991
Find系列,Find X全网通版（PAFM00）,正式版-F.20,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210205111431/PAFM00_11_OTA_3200_all_P2hwrKpZA4MR.ozip,3453.14MB,2021-02-05T03:15:55.000+0000,88935f5f0e52958f1707c5486e37e1e5
Find系列,Find X全网通版（PAFM00）,正式版-F.19,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20201230114015/PAFM00_11_OTA_3190_all_vXAWSJy7iQEt.ozip,3392.53MB,2020-12-30T03:42:34.000+0000,ca8ba5f1bcf2b6154188dfa2ed90f156
Find系列,Find X全网通版（PAFM00）,正式版-F.18,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20201113104244/PAFM00_11_OTA_3180_all_ztFatEOgTlOb.ozip,3316.19MB,2020-11-13T02:44:04.000+0000,21610a1a20231ca68abbf7ba423d3514
Find系列,Find X全网通版（PAFM00）,正式版-F.15,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200927082938/PAFM00_11_OTA_3150_all_l45XvVd55UtK.ozip,3324.34MB,2020-09-27T00:31:16.000+0000,bf890cd6bc687fd6e2d5ccbd9b320282
Find系列,Find X全网通版（PAFM00）,正式版-F.14,7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200905094000/PAFM00_11_OTA_3140_all_ID25b1uENa3W.ozip,3321.62MB,2020-09-05T02:26:00.000+0000,c36694ca7ab38d9924f005d9ada13183
Find系列,Find X全网通版（PAFM00）,正式版-F.13,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200808091243/PAFM00_11_OTA_3130_all_R9ARBYKBMUPj.ozip,3320.78MB,2020-08-08T01:13:56.000+0000,aa59c19914fa32be06624a234ea99a6b
Find系列,Find X全网通版（PAFM00）,正式版-F.12,V7,10.0,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200702163059/PAFM00_11_OTA_3120_all_3pSKNdBbr5Ck.ozip,3244.12MB,2020-07-02T08:33:51.000+0000,c07f194ba1430ef57d107d058a568fab
Find系列,Find X全网通版（PAFM00）,正式版-F.10,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200619143919/PAFM00_11_OTA_3100_all_CSs2671wQRpJ.ozip,3171.81MB,2020-06-19T06:40:47.000+0000,1a18306daae3ac5080c6950c6070f2b3
Find系列,Find X全网通版（PAFM00）,ColorOS 7 正式版-F.09（Android 10）,7,10.0,https://fsopen.coloros.com/3/oppowww/androidrom/pafm00/PAFM00_11_OTA_3090_all_zl3f9pDDviaO.ozip,3159M,2020-05-18T18:02:41.000+0000,325E7901ADB51C08AC177E130E10181A
Find系列,Find X全网通版（PAFM00）,ColorOS 6 正式版-C.24（ Android 9）,6,9.0,https://fsopen.coloros.com/3/oppowww/androidrom/PAFM00P/PAFM00_11_C.24_OTA_1240_all_201912112224.ozip,2671M,2020-01-10T03:31:07.000+0000,5EBD11BEDA6CF428743B1B193200E89A
Find系列,Find X全网通版（PAFM00）,正式版本-C.22,,,https://fsopen.coloros.com/3/oppowww/androidrom/PAFM00P/PAFM00_11_C.22_OTA_1220_all_201910101954.ozip,2662 MB,2019-12-03T22:52:45.000+0000,09dd6e0c5b16fc0eea8abd59bf784bae
Find系列,Find X全网通版（PAFM00）,正式版-A.37,,,https://fsopen.coloros.com/3/oppowww/androidrom/pafm00/PAFM00_11_OTA_0370_all_6kB1jrhNZWV5.ozip,2509 MB,2019-09-29T16:13:14.000+0000,175e421ecc8a30db33972fb497559313
Find系列,Find X全网通版（PAFM00）,正式版-A.35,,,https://fsopen.coloros.com/3/oppowww/androidrom/pafm00/PAFM00_11_OTA_0350_all_kP3yN4aS1ASz.ozip,2508 MB,2019-07-05T15:21:03.000+0000,11232742BD3A89CF6B6E27F34593D634
Find系列,Find X全网通版（PAFM00）,正式版本-A.34,,,https://fsopen.coloros.com/3/oppowww/androidrom/pafm00/PAFM00_11_OTA_0340_all_gQm7wJmKgtwy.ozip,2457 MB,2019-05-28T20:04:57.000+0000,5E7E565E29C4B0AA6EF8F6D5907FAF53
Find系列,Find X全网通版（PAFM00）,正式版-A.30,,,https://fsopen.coloros.com/3/oppowww/androidrom/pafm00/PAFM00_11_OTA_0300_all_rqjUlPT7h9J9.ozip,2447 MB,2019-01-29T14:49:21.000+0000,8C98903312E82B30FB3FEEE79062F6E3
Find系列,Find X全网通版（PAFM00）,正式版-A.27,,,https://fsopen.coloros.com/3/oppowww/androidrom/pafm00//PAFM00_11_OTA_0270_all_qxrtgYyNXpsa_local.ozip,2437 MB,2018-11-26T10:02:58.000+0000,08057F7734DDF7426136FE7088469DA5
Find系列,Find X全网通版（PAFM00）,正式版-A.25,,,https://fsopen.coloros.com/3/oppowww/androidrom/pafm00/PAFM00_11_OTA_0250_all_FpXU0QjATjXY_local.ozip,2324 MB,2018-10-15T16:11:51.000+0000,8A346907A020CEB76334414A62E74C99
Find系列,Find X全网通版（PAFM00）,正式版本-A.24,,,https://fsopen.coloros.com/3/oppowww/androidrom/pafm00/PAFM00_11_OTA_0240_all_oOYzUsF4mOJj_local.ozip,2325 MB,2018-09-10T18:03:56.000+0000,39D7E232CBCBEB6885770EA0E22A0608
Find系列,Find X全网通版（PAFM00）,正式版-A.23,,,https://fsopen.coloros.com/3/oppowww/androidrom/pafm00/PAFM00_11_OTA_0230_all_nKkP73eUA2bv_local.ozip,2324 MB,2018-08-20T14:22:20.000+0000,5A0756CE14F4A7A80E8F93602ADC1B7B
Find系列,Find X全网通版（PAFM00）,正式版-A.21,,,https://fsopen.coloros.com/3/oppowww/androidrom/pafm00/PAFM00_11_OTA_0210_all_rPk2PLXimASt_local.ozip,2284 MB,2018-08-04T20:25:37.000+0000,62AA21699FAAFB4B36F457945EDF1294
Find系列,Find X全网通版（PAFM00）,正式版-A.19,,,https://fsopen.coloros.com/3/oppowww/androidrom/pafm00/PAFM00_11_OTA_0190_all_26gonbqtt3S6_local.ozip,2284 MB,2018-07-26T16:27:39.000+0000,A607B42D9A71BC38691C6CB863A294E5
Find系列,Find X全网通版（PAFM00）,正式版-A.15,,,https://fsopen.coloros.com/3/oppowww/androidrom/pafm00/PAFM00_11_OTA_0152_all_kLK0y3IEK2ur_local.ozip,2294 MB,2018-07-26T14:39:46.000+0000,611E61D45759029A0FF5C7A6EF24D306
Find系列,Find X移动全网通版（PAFT00）,正式版-F.27,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20211203164919/PAFM00_11_OTA_3270_all_ZsB7LzXH0Ct8.ozip,3508.00MB,2021-12-03T08:54:00.000+0000,b4846db04ac76e4d64d87d5801bb8e5a
Find系列,Find X移动全网通版（PAFT00）,正式版-F.26,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20211115164149/PAFM00_11_OTA_3260_all_t3Y7m7zoFCcK.ozip,3477.58MB,2021-11-15T08:45:00.000+0000,0d810920f3ca50c673b41a7239eb60f3
Find系列,Find X移动全网通版（PAFT00）,正式版-F.25,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210826202442/PAFM00_11_OTA_3250_all_WM4Q1CCMVEIE.ozip,3477.58MB,2021-08-26T12:30:00.000+0000,9cbcc6647bc57b707f2fc29186e703ed
Find系列,Find X移动全网通版（PAFT00）,正式版-F.24,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/null_20210720204333/PAFM00_11_OTA_3240_all_EmrOGJFGRPXb.ozip,3474.53MB,2021-07-20T12:48:00.000+0000,0cc551b68a296861c5fa7a7b518ec3eb
Find系列,Find X移动全网通版（PAFT00）,正式版-F.23,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/null_20210623105645/PAFM00_11_OTA_3230_all_Yady5Izwm722.ozip,3473.90MB,2021-06-23T03:00:00.000+0000,7ae9cb5cbdb5e35bd8705ea895293078
Find系列,Find X移动全网通版（PAFT00）,正式版-F.22,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210512142952/PAFM00_11_OTA_3220_all_41KCtBxIvhly.ozip,3453.44MB,2021-05-12T06:33:00.000+0000,de937ff393011f24b68dbc1eabe2c582
Find系列,Find X移动全网通版（PAFT00）,正式版-F.21,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210310155425/PAFM00_11_OTA_3210_all_pAxSgvy7MJoa.ozip,3453.19MB,2021-03-10T07:57:04.000+0000,f5edfcc50d7b3a78da1dd625a600c991
Find系列,Find X移动全网通版（PAFT00）,正式版-F.20,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210205111431/PAFM00_11_OTA_3200_all_P2hwrKpZA4MR.ozip,3453.14MB,2021-02-05T08:00:01.000+0000,88935f5f0e52958f1707c5486e37e1e5
Find系列,Find X移动全网通版（PAFT00）,正式版-F.19,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20201230114015/PAFM00_11_OTA_3190_all_vXAWSJy7iQEt.ozip,3392.53MB,2020-12-30T03:45:01.000+0000,ca8ba5f1bcf2b6154188dfa2ed90f156
Find系列,Find X移动全网通版（PAFT00）,正式版-F.18,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20201113104244/PAFM00_11_OTA_3180_all_ztFatEOgTlOb.ozip,3316.19MB,2020-11-13T02:45:03.000+0000,21610a1a20231ca68abbf7ba423d3514
Find系列,Find X移动全网通版（PAFT00）,正式版-F.15,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200927082938/PAFM00_11_OTA_3150_all_l45XvVd55UtK.ozip,3324.34MB,2020-09-27T00:33:02.000+0000,bf890cd6bc687fd6e2d5ccbd9b320282
Find系列,Find X移动全网通版（PAFT00）,正式版-F.14,7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200905094000/PAFM00_11_OTA_3140_all_ID25b1uENa3W.ozip,3321.62MB,2020-09-05T02:28:16.000+0000,c36694ca7ab38d9924f005d9ada13183
Find系列,Find X移动全网通版（PAFT00）,正式版-F.13,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200808091243/PAFM00_11_OTA_3130_all_R9ARBYKBMUPj.ozip,3320.78MB,2020-08-08T01:15:00.000+0000,aa59c19914fa32be06624a234ea99a6b
Find系列,Find X移动全网通版（PAFT00）,正式版-F.12,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200702163059/PAFM00_11_OTA_3120_all_3pSKNdBbr5Ck.ozip,3244.12MB,2020-07-02T08:32:40.000+0000,c07f194ba1430ef57d107d058a568fab
Find系列,Find X移动全网通版（PAFT00）,正式版-F.10,V7.0,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200619144251/PAFM00_11_OTA_3100_all_CSs2671wQRpJ.ozip,3171.81MB,2020-06-19T06:44:04.000+0000,1a18306daae3ac5080c6950c6070f2b3
